left
aX;aY;aZ;gX;gY;gZ
28;-203;944;7.812;5.798;-3.906
24;-194;957;7.385;4.028;-6.958
27;-197;964;3.723;1.709;-8.057
30;-212;966;-610;-977;-6.958
34;-222;958;-3.662;-3.235;-5.493
39;-229;948;-4.883;-4.211;-4.333
39;-241;942;-5.005;-3.906;-3.662
35;-242;933;-3.113;-3.479;-3.784
31;-231;937;916;-1.831;-3.479
26;-212;944;4.517;-793;-1.953
31;-193;947;6.042;-427;-366
36;-194;955;7.080;-122;-488
40;-180;961;7.629;183;-3.174
43;-165;967;7.080;61;-7.019
;;;;;
313;-1.099;1.164;-315.186;-73.242;440.430
246;-845;928;-338.806;-36.926;471.069
-72;-426;648;-290.649;12.390;448.486
-192;-18;579;-169.556;66.162;377.075
-124;219;615;-17.273;97.473;294.678
53;296;822;115.845;99.731;227.539
190;307;1.099;192.139;76.538;175.537
134;412;1.169;166.382;33.508;145.386
-24;483;1.016;53.223;7.751;138.672
-55;601;830;-62.012;13.062;122.925
-1;602;744;-117.371;27.039;91.187
20;508;751;-121.338;28.320;56.335
38;405;758;-102.234;21.790;27.771
9;372;732;-75.928;15.930;7.019
-78;386;696;-43.884;11.475;-1.343
-140;405;685;-10.742;7.874;-4.578
-143;461;708;20.020;4.944;-14.160
-124;444;781;45.715;2.502;-24.048
-170;488;833;59.998;-5.249;-37.659
-186;419;915;61.157;-16.052;-39.856
-130;265;1.054;46.875;-29.907;-30.029
-52;153;1.036;21.912;-46.509;-22.278
36;52;1.042;-10.498;-54.626;-22.949
86;-3;1.021;-32.532;-53.284;-28.503
101;-51;1.045;-32.104;-41.260;-33.203
118;-135;1.045;-23.315;-23.987;-34.912
68;-100;908;-12.939;-7.751;-39.429
140;-113;1.063;2.502;12.268;-43.274
180;13;1.039;21.545;13.184;-57.617
107;92;879;42.175;-1.282;-71.350
152;66;962;59.448;7.385;-90.942
194;119;936;73.242;7.141;-128.235
131;111;902;83.008;-1.038;-172.180
63;87;925;87.524;4.822;-214.539
51;190;965;85.754;25.818;-248.657
74;199;834;88.379;45.166;-268.311
44;187;773;105.408;59.387;-297.546
-89;135;823;127.258;61.401;-331.055
-206;109;922;141.479;50.537;-351.624
-159;120;1.004;137.451;34.058;-349.243
-93;-2;941;119.507;9.766;-321.472
-85;-227;883;99.365;-14.526;-288.940
-59;-376;979;83.191;-30.273;-266.968
-39;-525;1.046;68.726;-38.330;-246.216
-45;-614;1.071;53.345;-41.748;-213.074
-59;-555;1.105;40.222;-40.222;-164.856
-63;-478;1.123;30.457;-33.875;-104.675
-45;-439;1.110;10.986;-25.391;-40.955
-21;-450;1.079;-16.418;-13.733;13.550
43;-490;1.060;-39.490;-2.136;50.293
94;-491;1.006;-47.180;4.272;63.049
91;-433;929;-39.551;6.348;54.688
9;-346;887;-26.855;7.385;36.316
-28;-303;886;-19.165;12.695;20.874
-15;-328;862;-19.165;14.160;14.526
-3;-276;853;-23.132;10.254;11.719
17;-300;903;-24.353;2.258;16.113
14;-299;858;-24.292;-9.644;26.306
58;-245;906;-21.790;-20.935;27.710
12;-306;867;-15.015;-38.025;30.640
79;-225;1.007;-6.287;-34.668;22.705
1;-208;924;4.456;-36.438;18.982
-9;-226;970;10.681;-25.024;20.203
49;-206;1.022;14.893;-6.348;16.968
47;-257;994;18.005;2.930;18.250
42;-226;1.005;13.977;12.024;12.878
47;-235;1.014;6.836;19.348;3.662
24;-206;965;2.686;16.846;-4.639
-3;-162;942;1.831;12.207;-10.559
-21;-166;924;3.174;8.484;-9.460
-26;-169;895;2.991;6.104;-5.066
-16;-170;893;244;7.141;122
6;-179;909;-2.747;8.911;5.005
