aX,aY,aZ,gX,gY,gZ
0.075,-0.130,0.597,-63.354,-410.767,117.371
-0.097,-0.020,0.843,1.343,-444.153,136.963
-0.236,0.145,1.088,47.485,-452.148,133.545
-0.153,0.297,1.421,91.858,-439.270,118.530
-0.149,0.453,1.881,140.442,-413.025,94.299
-0.106,0.438,2.289,180.725,-381.897,54.077
-0.141,0.165,2.579,186.401,-319.519,5.859
-0.280,-0.056,2.607,132.568,-216.431,-25.879
-0.314,-0.140,2.359,37.903,-96.436,-33.691
-0.295,-0.133,1.972,-52.856,4.211,-23.926
-0.179,-0.006,1.582,-101.257,63.660,-17.517
-0.039,0.075,1.289,-98.877,86.731,-20.325
0.004,0.050,1.048,-69.214,76.660,-20.508
0.022,-0.021,0.928,-38.147,47.180,-18.799
0.035,-0.072,0.864,-18.616,21.606,-14.221
0.079,-0.104,0.824,-15.198,2.441,-10.254
0.125,-0.132,0.806,-20.813,-8.423,-8.667
0.155,-0.162,0.800,-26.855,-13.672,-6.775
0.167,-0.191,0.786,-26.855,-15.137,-4.700
0.131,-0.213,0.756,-20.508,-16.052,-4.150
0.179,-0.212,0.825,-9.033,-16.968,-4.089
0.148,-0.197,0.794,4.211,-21.667,-1.770
0.166,-0.191,0.903,16.296,-26.855,1.831
0.073,-0.162,0.921,20.386,-30.701,5.066
0.067,-0.149,0.992,14.160,-25.391,6.897
0.040,-0.126,1.000,1.831,-20.996,7.874
0.030,-0.109,1.086,-7.751,-19.836,9.277
0.017,-0.103,1.108,-4.578,-22.339,10.376
0.027,-0.070,1.122,2.869,-20.081,10.010
0.031,-0.039,1.120,2.258,-14.587,10.559
0.064,-0.006,1.125,3.357,-7.996,8.057
0.082,0.006,1.102,7.690,-2.136,4.272
0.063,-0.010,1.045,8.423,3.479,0.916
0.057,-0.023,0.985,5.737,10.193,-1.953
0.062,-0.023,0.923,0.916,12.939,-2.563
0.061,-0.018,0.880,-3.723,11.230,-2.869
0.053,-0.034,0.866,-7.812,6.104,-3.113
0.051,-0.027,0.866,-8.789,0.732,-4.089
0.053,-0.022,0.892,-5.981,-4.700,-3.845
0.048,-0.028,0.928,-0.671,-11.047,-3.723
0.043,-0.038,0.973,5.127,-15.137,-4.150
0.053,-0.044,1.003,7.690,-15.015,-4.700
0.056,-0.051,1.026,5.432,-10.925,-5.249
0.059,-0.054,1.038,-0.427,-4.333,-6.348
0.059,-0.077,1.018,-5.798,3.418,-7.751
0.054,-0.097,0.989,-9.949,10.498,-8.301
0.052,-0.104,0.940,-12.024,14.221,-7.935
0.041,-0.109,0.898,-13.000,14.465,-6.042
0.038,-0.105,0.862,-13.611,12.207,-4.456
0.047,-0.081,0.840,-12.329,6.531,-3.723
0.056,-0.068,0.852,-7.385,-0.854,-2.686
0.071,-0.052,0.882,-0.488,-7.324,-1.709
0.070,-0.045,0.916,4.700,-12.756,-2.625
0.077,-0.054,0.955,7.019,-14.771,-3.479
0.090,-0.062,0.992,7.141,-14.099,-4.517
0.088,-0.073,1.023,6.470,-11.292,-5.005
0.097,-0.086,1.062,5.981,-6.226,-5.310
0.077,-0.084,1.061,4.578,1.770,-4.578
0.074,-0.080,1.025,0.183,9.888,-3.845
0.060,-0.067,0.981,-4.578,15.625,-2.808
0.050,-0.066,0.939,-8.423,17.761,-1.526
0.070,-0.050,0.912,-11.536,15.991,-1.038
0.069,-0.032,0.899,-11.841,11.597,-1.831
0.070,-0.024,0.901,-8.789,6.287,-2.380
0.074,-0.019,0.909,-5.371,-0.061,-4.272
0.072,-0.025,0.914,-3.357,-4.089,-5.371
0.080,-0.039,0.934,-2.991,-6.592,-6.348
0.077,-0.055,0.955,-1.160,-8.728,-6.958
0.076,-0.061,0.966,3.845,-10.132,-6.958
0.081,-0.062,0.965,8.911,-10.437,-6.775
0.083,-0.056,0.965,10.620,-10.498,-7.324
0.079,-0.073,0.966,9.338,-8.423,-7.996
0.079,-0.093,0.967,4.883,-6.409,-7.996
0.078,-0.104,0.966,-1.282,-4.089,-8.057
0.079,-0.108,0.969,-8.545,-0.916,-6.897
0.078,-0.117,0.968,-14.587,2.075,-5.310
0.070,-0.104,0.962,-21.606,4.395,-3.845
0.067,-0.090,0.963,-27.344,5.310,-2.441
0.075,-0.070,0.964,-26.001,3.723,-1.709
0.069,-0.062,0.966,-18.494,1.892,-0.916
0.066,-0.046,0.961,-12.024,0.793,-0.488
0.069,-0.015,0.949,-9.399,-0.122,-0.671
0.084,-0.004,0.948,-10.376,-0.061,-1.648
0.077,-0.004,0.927,-10.620,-1.648,-3.601
0.087,-0.009,0.932,-6.592,-2.075,-6.775
0.087,-0.032,0.925,-0.366,-2.563,-7.385
0.081,-0.045,0.913,5.920,-4.578,-8.057
0.066,-0.063,0.908,11.169,-6.042,-8.484
0.059,-0.084,0.916,13.245,-7.996,-7.629
0.056,-0.084,0.941,11.475,-9.583,-6.531
0.066,-0.085,0.972,7.324,-11.169,-4.700
0.064,-0.085,1.011,3.845,-9.888,-3.662
0.054,-0.074,1.018,-0.610,-6.165,-2.869
0.070,-0.063,1.013,-5.371,-2.258,-1.648
0.076,-0.044,0.992,-9.521,0.488,-1.648
0.074,-0.027,0.964,-11.902,2.258,-2.380
0.078,-0.017,0.940,-11.414,2.686,-3.479
0.083,-0.012,0.921,-9.338,1.343,-5.005
0.082,-0.019,0.912,-6.531,-0.977,-6.042
0.075,-0.027,0.914,-2.747,-3.479,-6.470
0.071,-0.032,0.919,1.953,-5.249,-6.470

-0.092,0.080,2.651,31.860,171.021,-54.443
-0.246,-0.035,2.727,33.020,245.056,-58.655
-0.429,-0.135,2.580,30.884,332.092,-53.528
-0.491,-0.148,2.313,29.114,423.279,-43.457
-0.489,-0.052,1.876,41.199,495.361,-36.743
